 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | -nan / -nan | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | -nan / -nan | 0.0492507 / -0.049184 | 0.0492507 / -0.049184 | 0.0492507 / -0.049184 | 0.0492507 / -0.049184 | 0.0492507 / -0.049184 | 0.0492507 / -0.049184 | 0.0492507 / -0.049184 | 0.0492507 / -0.049184 | 0.0492507 / -0.049184 |
 | Electron trigger eff. | -nan / -nan | 0.00229207 / -0.00229208 | 0.00230485 / -0.00230487 | 0.00247773 / -0.00247773 | 0.00205489 / -0.00205491 | 0.00239126 / -0.00239129 | 0.00247763 / -0.0024776 | 0.00290273 / -0.00290273 | 0.00313031 / -0.00313033 | 0.00271799 / -0.00271801 |
 | Electron reconstruction eff. | -nan / -nan | 0.00127724 / -0.00127725 | 0.00128674 / -0.00128675 | 0.00137681 / -0.00137681 | 0.00126267 / -0.00126268 | 0.00146701 / -0.00146693 | 0.00134521 / -0.00134524 | 0.00135662 / -0.00135662 | 0.00141234 / -0.00141228 | 0.00141702 / -0.00141704 |
 | Electron identification eff. | -nan / -nan | 0.00938535 / -0.00938596 | 0.00938346 / -0.00938408 | 0.0108897 / -0.0108905 | 0.0086668 / -0.00866733 | 0.0110663 / -0.0110672 | 0.0104653 / -0.0104661 | 0.00957589 / -0.00957652 | 0.0106727 / -0.0106735 | 0.0112299 / -0.0112306 |
 | Electron isolation eff. | -nan / -nan | 0.00108434 / -0.00108435 | 0.00111447 / -0.00111442 | 0.00129961 / -0.00129961 | 0.00110883 / -0.00110885 | 0.00127169 / -0.00127172 | 0.00128984 / -0.00128987 | 0.0012238 / -0.0012238 | 0.00137212 / -0.00137213 | 0.00133713 / -0.00133715 |
 | Muon id. (stat) | -nan / -nan | -3.928e-09 / -3.928e-09 | -6.08112e-09 / -6.08112e-09 | 1.22091e-09 / 1.22091e-09 | 3.11095e-08 / 3.11095e-08 | -1.4315e-08 / -1.4315e-08 | -1.46832e-08 / -1.46832e-08 | 1.19365e-10 / 1.19365e-10 | -8.68663e-09 / -8.68663e-09 | 4.71128e-08 / 4.71128e-08 |
 | Muon id. low pt (stat) | -nan / -nan | -3.928e-09 / -3.928e-09 | -6.08112e-09 / -6.08112e-09 | 1.22091e-09 / 1.22091e-09 | 3.11095e-08 / 3.11095e-08 | -1.4315e-08 / -1.4315e-08 | -1.46832e-08 / -1.46832e-08 | 1.19365e-10 / 1.19365e-10 | -8.68663e-09 / -8.68663e-09 | 4.71128e-08 / 4.71128e-08 |
 | Muon id. (syst) | -nan / -nan | -3.928e-09 / -3.928e-09 | -6.08112e-09 / -6.08112e-09 | 1.22091e-09 / 1.22091e-09 | 3.11095e-08 / 3.11095e-08 | -1.4315e-08 / -1.4315e-08 | -1.46832e-08 / -1.46832e-08 | 1.19365e-10 / 1.19365e-10 | -8.68663e-09 / -8.68663e-09 | 4.71128e-08 / 4.71128e-08 |
 | Muon id. low pt (syst) | -nan / -nan | -3.928e-09 / -3.928e-09 | -6.08112e-09 / -6.08112e-09 | 1.22091e-09 / 1.22091e-09 | 3.11095e-08 / 3.11095e-08 | -1.4315e-08 / -1.4315e-08 | -1.46832e-08 / -1.46832e-08 | 1.19365e-10 / 1.19365e-10 | -8.68663e-09 / -8.68663e-09 | 4.71128e-08 / 4.71128e-08 |
