 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | -nan / -nan | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | -nan / -nan | 0.0492507 / -0.049184 | 0.0492507 / -0.049184 | 0.0492507 / -0.049184 | 0.0492507 / -0.049184 | 0.0492507 / -0.049184 | 0.0492507 / -0.049184 | 0.0492507 / -0.049184 | 0.0492507 / -0.049184 | 0.0492507 / -0.049184 |
 | Electron trigger eff. | -nan / -nan | 0.0023211 / -0.00232108 | 0.00211868 / -0.00211868 | 0.00166927 / -0.00166929 | 0.00215493 / -0.00215492 | 0.00289947 / -0.00289953 | 0.00194363 / -0.00194362 | 0.00338198 / -0.00338201 | 0.00353365 / -0.00353365 | 0.0023181 / -0.00231812 |
 | Electron reconstruction eff. | -nan / -nan | 0.00121301 / -0.00121298 | 0.00115251 / -0.00115251 | 0.000996578 / -0.000996602 | 0.00111498 / -0.00111498 | 0.00150984 / -0.0015098 | 0.00113919 / -0.00113917 | 0.0012535 / -0.00125353 | 0.00143471 / -0.00143471 | 0.00121935 / -0.00121936 |
 | Electron identification eff. | -nan / -nan | 0.00920306 / -0.00920362 | 0.00907561 / -0.00907618 | 0.00496777 / -0.00496796 | 0.00893625 / -0.0089368 | 0.0119198 / -0.0119207 | 0.00948991 / -0.00949052 | 0.011609 / -0.01161 | 0.0111184 / -0.0111193 | 0.00797298 / -0.00797344 |
 | Electron isolation eff. | -nan / -nan | 0.00100583 / -0.0010058 | 0.000991263 / -0.000991265 | 0.000705725 / -0.000705749 | 0.000931805 / -0.000931799 | 0.00121496 / -0.00121491 | 0.00108656 / -0.00108655 | 0.00166013 / -0.00166016 | 0.00133794 / -0.00133795 | 0.00102623 / -0.00102624 |
 | Muon id. (stat) | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon id. low pt (stat) | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon id. (syst) | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon id. low pt (syst) | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
