 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | -nan / -nan | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | -nan / -nan | 0.0486317 / -0.0486967 | 0.0486317 / -0.0486967 | 0.0486317 / -0.0486967 | 0.0486317 / -0.0486967 | 0.0486317 / -0.0486967 | 0.0486317 / -0.0486967 | 0.0486317 / -0.0486967 | 0.0486317 / -0.0486967 | 0.0486317 / -0.0486967 |
 | Electron trigger eff. | -nan / -nan | 0.00220437 / -0.00220442 | 0.00224196 / -0.00224201 | 0.00269884 / -0.00269889 | 0.00219381 / -0.00219381 | 0.00222918 / -0.00222915 | 0.00234563 / -0.00234565 | 0.00347802 / -0.003478 | 0.00290081 / -0.0029009 | 0.00285372 / -0.00285368 |
 | Electron reconstruction eff. | -nan / -nan | 0.00126523 / -0.00126527 | 0.00127628 / -0.00127633 | 0.00139888 / -0.00139885 | 0.00139309 / -0.0013931 | 0.00135288 / -0.00135285 | 0.00139357 / -0.00139359 | 0.00157612 / -0.0015761 | 0.00147503 / -0.001475 | 0.00154497 / -0.00154501 |
 | Electron identification eff. | -nan / -nan | 0.00954045 / -0.00954103 | 0.00950654 / -0.00950715 | 0.0108219 / -0.0108227 | 0.0115707 / -0.0115717 | 0.0101689 / -0.0101696 | 0.0105421 / -0.0105429 | 0.0113006 / -0.0113014 | 0.0111345 / -0.0111354 | 0.0122113 / -0.0122123 |
 | Electron isolation eff. | -nan / -nan | 0.00110319 / -0.00110314 | 0.00110761 / -0.00110759 | 0.00140509 / -0.00140506 | 0.00130586 / -0.00130587 | 0.00126074 / -0.00126071 | 0.00135883 / -0.00135885 | 0.00148131 / -0.0014814 | 0.00138861 / -0.00138869 | 0.00151429 / -0.00151426 |
 | Muon id. (stat) | -nan / -nan | -2.30116e-08 / -2.30116e-08 | 9.56045e-09 / 9.56045e-09 | -2.67956e-08 / -2.67956e-08 | 2.66273e-08 / 2.66273e-08 | 1.6015e-08 / 1.6015e-08 | -1.05842e-08 / -1.05842e-08 | 1.05152e-08 / 1.05152e-08 | -4.39367e-08 / -4.39367e-08 | 1.67888e-08 / 1.67888e-08 |
 | Muon id. low pt (stat) | -nan / -nan | -2.30116e-08 / -2.30116e-08 | 9.56045e-09 / 9.56045e-09 | -2.67956e-08 / -2.67956e-08 | 2.66273e-08 / 2.66273e-08 | 1.6015e-08 / 1.6015e-08 | -1.05842e-08 / -1.05842e-08 | 1.05152e-08 / 1.05152e-08 | -4.39367e-08 / -4.39367e-08 | 1.67888e-08 / 1.67888e-08 |
 | Muon id. (syst) | -nan / -nan | -2.30116e-08 / -2.30116e-08 | 9.56045e-09 / 9.56045e-09 | -2.67956e-08 / -2.67956e-08 | 2.66273e-08 / 2.66273e-08 | 1.6015e-08 / 1.6015e-08 | -1.05842e-08 / -1.05842e-08 | 1.05152e-08 / 1.05152e-08 | -4.39367e-08 / -4.39367e-08 | 1.67888e-08 / 1.67888e-08 |
 | Muon id. low pt (syst) | -nan / -nan | -2.30116e-08 / -2.30116e-08 | 9.56045e-09 / 9.56045e-09 | -2.67956e-08 / -2.67956e-08 | 2.66273e-08 / 2.66273e-08 | 1.6015e-08 / 1.6015e-08 | -1.05842e-08 / -1.05842e-08 | 1.05152e-08 / 1.05152e-08 | -4.39367e-08 / -4.39367e-08 | 1.67888e-08 / 1.67888e-08 |
